CHR,POS,gene_code,GENE,FUNCTION,NOTES,,,
chr10,715087, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,
chr10,715117, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,
chr10,715149, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,
chr10,715153, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,
chr10,745294, TEL1NAGR-XC, - Telomeric X element Core sequence on the right arm of Chromosome X; contains an ARS consensus sequence, an Abf1p binding site consensus sequence, and ORF YJR162C,,,
chr10,745296, TEL1NAGR-XC, - Telomeric X element Core sequence on the right arm of Chromosome X; contains an ARS consensus sequence, an Abf1p binding site consensus sequence, and ORF YJR162C,,,
chr10,745451, TEL1NAGR, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,
chr10,745495, TEL1NAGR, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,
chr10,745496, TEL1NAGR, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,
chr10,745499, TEL1NAGR, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,
chr10,745504, TEL1NAGR, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,
chr10,745529, TEL1NAGR, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,
chr10,75588,NAG,NAG,,,,,
chr10,99505, ARS1NAGNAG6, - Autonomously Replicating Sequence,,,,,
chr10,99519, ARS1NAGNAG6, - Autonomously Replicating Sequence,,,,,
chr11,107951, YKL181W,PRS1 - 5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes
chr11,109080,NAG,NAG,,,,,
chr11,123581, YKL173W,SNU114 - GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2,,,,,
chr11,126748, YKL172W,EBP2 - Essential protein required for the maturation of 25S rRNA and 6S ribosomal subunit assembly, localizes to the nucleolus; constituent of 66S pre-ribosomal particles,,,,
chr11,128195, YKL171W,NNK1 - Protein kinase; implicated in proteasome function; interacts with TORC1, Ure2 and Gdh2; overexpression leads to hypersensitivity to rapamycin and nuclear accumulation of Gln3; epitope-tagged protein localizes to the cytoplasm,,,,
chr11,132383, YKL168C,KKQ8 - Putative serine/threonine protein kinase with unknown cellular role,,,,,
chr11,132423, YKL168C,KKQ8 - Putative serine/threonine protein kinase with unknown cellular role,,,,,
chr11,134467,NAG,NAG,,,,,
chr11,136931,NAG,NAG,,,,,
chr11,142310, YKL164C,PIR1 - O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle,,,,
chr11,144919, YKL163W,PIR3 - O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway,,,,
chr11,157764, YKL157W,APE2 - Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; sequence coordinates have changed since RT-PCR analysis showed that the adjacent ORF YKL158W comprises the 5' exon of APE2/YKL157W,,,,,
chr11,178928, YKL142W,MRP8 - Protein of unknown function; undergoes sumoylation; transcription induced under cell wall stress; protein levels are reduced under anaerobic conditions; originally thought to be a mitochondrial ribosomal protein based on sequence analysis,,,,,
chr11,180104, YKL141W,SDH3 - Cytochrome b subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain,
chr11,180128, YKL141W,SDH3 - Cytochrome b subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain,
chr11,180297,NAG,NAG,,,,,
chr11,187243, YKL135C,APL2 - Beta-adaptin, large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting,,,,
chr11,188678,NAG,NAG,,,,,
chr11,277675, YKLNAG87C,CYT2 - Cytochrome c1 heme lyase, involved in maturation of cytochrome c1, which is a subunit of the mitochondrial ubiquinol-cytochrome-c reductase; links heme covalently to apocytochrome c1,,,
chr11,280468,NAG,NAG,,,,,
chr11,286448,NAG,NAG,,,,,
chr11,335103,NAG,NAG,,,,,
chr11,351197,NAG,NAG,,,,,
chr11,357984,NAG,NAG,,,,,
chr11,358455,NAG,NAG,,,,,
chr11,37146, YKL211C,TRP3 - Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p,,,,
chr11,37242, YKL211C,TRP3 - Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p,,,,
chr11,408184,NAG,NAG,,,,,
chr11,408233,NAG,NAG,,,,,
chr11,408307,NAG,NAG,,,,,
chr11,411001, YKLNAG15W,PUT3 - Transcriptional activator of proline utilization genes, constitutively binds PUT1 and PUT2 promoter sequences and undergoes a conformational change to form the active state; has a Zn(2)-Cys(6) binuclear cluster domain,,,,
chr11,415294, YKLNAG14C,URB1 - Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 6S ribosomal subunit,,,,
chr11,415378, YKLNAG14C,URB1 - Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 6S ribosomal subunit,,,,
chr11,415542, YKLNAG14C,URB1 - Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 6S ribosomal subunit,,,,
chr11,422154, YKLNAG1NAGC,UFD4 - Ubiquitin-protein ligase (E3) that interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins,,,,
chr11,422960, YKLNAG1NAGC,UFD4 - Ubiquitin-protein ligase (E3) that interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins,,,,
chr11,427367, YKLNAGNAG8C,LAC1 - Ceramide synthase component, involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lag1p,,,
chr11,430806,NAG,NAG,,,,,
chr11,430973,NAG,NAG,,,,,
chr11,437524,NAG,NAG,,,,,
chr11,442302, YKRNAGNAG1C,VPS1 - Dynamin-like GTPase required for vacuolar sorting; also involved in actin cytoskeleton organization, endocytosis, late Golgi-retention of some proteins, regulation of peroxisome biogenesis,,
chr11,459870, YKRNAG1NAGC,TOF2 - Protein required for rDNA silencing and mitotic rDNA condensation; stimulates Cdc14p phosphatase activity and biphasic release to promote rDNA repeat segregation; required for condensin recruitment to the replication fork barrier site,,,,,
chr11,474932, YKRNAG18C, - Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus,,,,,
chr11,476160,NAG,NAG,,,,,
chr11,480070, YKRNAG21W,ALY1 - Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets,,,,,
chr11,480455, YKRNAG21W,ALY1 - Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets,,,,,
chr11,481321, YKRNAG21W,ALY1 - Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets,,,,,
chr11,482277, YKRNAG22C,NTR2 - Essential protein that forms a dimer with Ntr1p; also forms a trimer, with Ntr2p and the DExD/H-box RNA helicase Prp43p, that is involved in spliceosome disassembly,,,
chr11,482837, YKRNAG22C,NTR2 - Essential protein that forms a dimer with Ntr1p; also forms a trimer, with Ntr2p and the DExD/H-box RNA helicase Prp43p, that is involved in spliceosome disassembly,,,
chr11,483809, YKRNAG23W, - Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies,,,,
chr11,483815, YKRNAG23W, - Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies,,,,
chr11,486371, YKRNAG24C,DBP7 - Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis; essential for growth under anaerobic conditions,,,,,
chr11,486659, YKRNAG24C,DBP7 - Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis; essential for growth under anaerobic conditions,,,,,
chr11,487095, YKRNAG24C,DBP7 - Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis; essential for growth under anaerobic conditions,,,,,
chr11,487361, YKRNAG24C,DBP7 - Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis; essential for growth under anaerobic conditions,,,,,
chr11,487601,NAG,NAG,,,,,
chr11,489841,NAG,NAG,,,,,
chr11,493349, YKRNAG27W,BCH2 - Member of the ChAPs family of proteins (Chs5p-Arf1p-binding proteins: Bch1p, Bch2p, Bud7p, Chs6p), that forms the exomer complex with Chs5p to mediate export of specific cargo proteins, including Chs3p
chr11,495938, YKRNAG28W,SAP19 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,
chr11,495966, YKRNAG28W,SAP19 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,
chr11,496005, YKRNAG28W,SAP19 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,
chr11,496317, YKRNAG28W,SAP19 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,
chr11,496416, YKRNAG28W,SAP19 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,
chr11,514494,NAG,NAG,,,,,
chr11,517282,NAG,NAG,,,,,
chr11,519756, YKRNAG42W,UTH1 - Mitochondrial outer membrane and cell wall localized SUN family member involved in cell wall biogenesis and required for mitochondrial autophagy; involved in the oxidative stress response, life span during starvation, and cell death,,,
chr11,527534,NAG,NAG,,,,,
chr11,532442,NAG,NAG,,,,,
chr11,533318, YKRNAG52C,MRS4 - Iron transporter that mediates Fe2+ transport across the inner mitochondrial membrane; mitochondrial carrier family member, similar to and functionally redundant with Mrs3p; active under low-iron conditions; may transport other cations,,,,
chr11,537898, YKRNAG54C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p
chr11,539613, YKRNAG54C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p
chr11,539987, YKRNAG54C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p
chr11,542352, YKRNAG54C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p
chr11,543951, YKRNAG54C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p
chr11,548560, YKRNAG55W,RHO4 - Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins, likely to be involved in the establishment of cell polarity,,,,
chr11,549464, YKRNAG56W,TRM2 - tRNA methyltransferase, 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation; endo-exonuclease with a role in DNA repair,,,,
chr11,549470, YKRNAG56W,TRM2 - tRNA methyltransferase, 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation; endo-exonuclease with a role in DNA repair,,,,
chr11,552756,NAG,NAG,,,,,
chr11,553084, YKRNAG58W,GLG1 - Self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; similar to mammalian glycogenin,,,,
chr11,553952, YKRNAG58W,GLG1 - Self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; similar to mammalian glycogenin,,,,
chr11,560783,NAG,NAG,,,,,
chr11,568041, YKRNAG67W,GPT2 - Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis,,,,,
chr11,568283, YKRNAG67W,GPT2 - Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis,,,,,
chr11,568347, YKRNAG67W,GPT2 - Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis,,,,,
chr11,576537, YKRNAG72C,SIS2 - Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis,,
chr11,577779, YKRNAG72C,SIS2 - Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis,,
chr11,578481, YKRNAG73C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,
chr11,578485, YKRNAG73C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,
chr11,578488, YKRNAG73C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,
chr11,578942,NAG,NAG,,,,,
chr11,579792,NAG,NAG,,,,,
chr11,580181, YKRNAG75C, - Protein of unknown function; similar to YOR62Cp and Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,,,,,
chr11,580415, YKRNAG75W-A, - Dubious open reading frame unlikely to encode a protein; completely overlaps the uncharacterized gene YKR75W; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching,,,
chr11,581056,NAG,NAG,,,,,
chr11,588609, YKRNAG79C,TRZ1 - tRNA 3'-end processing endonuclease tRNase Z; also localized to mitochondria and interacts genetically with Rex2 exonuclease; homolog of the human candidate prostate cancer susceptibility gene ELAC2,,,,,
chr11,589369,NAG,NAG,,,,,
chr11,589580,NAG,NAG,,,,,
chr11,589759,NAG,NAG,,,,,
chr11,594744, YKRNAG82W,NUP133 - Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), localizes to both sides of the NPC, required to establish a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p,,,
chr11,594835, YKRNAG82W,NUP133 - Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), localizes to both sides of the NPC, required to establish a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p,,,
chr11,600024, YKRNAG86W,,,,,,
chr11,600406, YKRNAG86W,,,,,,
chr11,600423, YKRNAG86W,,,,,,
chr11,613391, YKRNAG92C,SRP4 - Nucleolar, serine-rich protein with a role in preribosome assembly or transport; may function as a chaperone of small nucleolar ribonucleoprotein particles (snoRNPs); immunologically and structurally to rat Nopp14,,,,
chr11,613780, YKRNAG92C,SRP4 - Nucleolar, serine-rich protein with a role in preribosome assembly or transport; may function as a chaperone of small nucleolar ribonucleoprotein particles (snoRNPs); immunologically and structurally to rat Nopp14,,,,
chr11,617557,NAG,NAG,,,,,
chr11,629063, YKRNAG96W, - Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; predicted to contain a PINc domain,,,,
chr11,634726, YKRNAG98C,UBP11 - Ubiquitin-specific protease that cleaves ubiquitin from ubiquitinated proteins,,,,,
chr11,637026, YKRNAG99W,BAS1 - Myb-related transcription factor involved in regulating basal and induced expression of genes of the purine and histidine biosynthesis pathways; also involved in regulation of meiotic recombination at specific genes,,,,,
chr11,638422,NAG,NAG,,,,,
chr11,645204,NAG,NAG,,,,,
chr11,68454, YKL198C,PTK1 - Putative serine/threonine protein kinase that regulates spermine uptake; involved in polyamine transport; possible mitochondrial protein,,,,,
chr12,1002214,NAG,NAG,,,,,
chr12,1006047, YLR434C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF TSR2/YLR435W,,,,
chr12,1012271,NAG,NAG,,,,,
chr12,1012275,NAG,NAG,,,,,
chr12,1012321,NAG,NAG,,,,,
chr12,1012324,NAG,NAG,,,,,
chr12,1015482,NAG,NAG,,,,,
chr12,1053293,NAG,NAG,,,,,
chr12,105616, YLLNAG2NAGC, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene KNS1,,,,
chr12,1059677,NAG,NAG,,,,,
chr12,1062835,NAG,NAG,,,,,
chr12,1062841,NAG,NAG,,,,,
chr12,1064957, TEL12R, - Telomeric region on the right arm of Chromosome XII, composed of an X element core sequence, X element combinatorial repeats, two distinct regions of telomeric repeats, and two long Y' elements,
chr12,1064959, TEL12R, - Telomeric region on the right arm of Chromosome XII, composed of an X element core sequence, X element combinatorial repeats, two distinct regions of telomeric repeats, and two long Y' elements,
chr12,109073,NAG,NAG,,,,,
chr12,109468,NAG,NAG,,,,,
chr12,123596, YLLNAG13C,PUF3 - Protein of the mitochondrial outer surface, links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins,,,,
chr12,123743, YLLNAG13C,PUF3 - Protein of the mitochondrial outer surface, links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins,,,,
chr12,130034, YLLNAG1NAGC,PSR1 - Plasma membrane associated protein phosphatase involved in the general stress response; required along with binding partner Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p,,,,
chr12,130083, YLLNAG1NAGC,PSR1 - Plasma membrane associated protein phosphatase involved in the general stress response; required along with binding partner Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p,,,,
chr12,130903,NAG,NAG,,,,,
chr12,132144, YLLNAGNAG8W,DRS1 - Nucleolar DEAD-box protein required for ribosome assembly and function, including synthesis of 6S ribosomal subunits; constituent of 66S pre-ribosomal particles,,,,
chr12,143452, YLLNAGNAG3W,SFI1 - Centrin (Cdc31p)-binding protein required for spindle pole body (SPB) duplication, localizes to the half-bridge of the SPB, required for progression through G(2)-M transition, has similarity to Xenopus laevis XCAP-C,,
chr12,143752, YLLNAGNAG3W,SFI1 - Centrin (Cdc31p)-binding protein required for spindle pole body (SPB) duplication, localizes to the half-bridge of the SPB, required for progression through G(2)-M transition, has similarity to Xenopus laevis XCAP-C,,
chr12,150435,NAG,NAG,,,,,
chr12,150468,NAG,NAG,,,,,
chr12,150469,NAG,NAG,,,,,
chr12,150470,NAG,NAG,,,,,
