TERM	GENE
ubiquitin ligase complex	BUL1
ubiquitin ligase complex	APC2
ubiquitin ligase complex	RAD16
microtubule associated complex	NIP100
SWI/SNF superfamily-type complex	IOC4
SWI/SNF superfamily-type complex	RSC1
endonuclease complex	MMS4
Golgi transport complex	COG1
Golgi transport complex	COG3
histone deacetylase complex	UME6
RNA polymerase I complex	RPA135
"proteasome regulatory particle, base subcomplex"	RPT5
sulfite reductase complex	MET10
exosome	RRP46
clathrin vesicle coat	CHC1
nucleosome	HHF2
AP-3 adaptor complex	APL5
microtubule	MHP1
unknown	YJL211C
unknown	BUD19
unknown	YLR198C
unknown	YDR269C
unknown	YFL021C-A
unknown	KIN82
unknown	VPS63
unknown	YEF1
unknown	DUS4
unknown	SPS100
unknown	BDS1
unknown	MCK1
unknown	DAL2
