TERM	GENE
transmembrane transporter activity	YCT1
transmembrane transporter activity	YOR1
transmembrane transporter activity	ZRT1
transmembrane transporter activity	ZRT3
enzyme regulator activity	BLM10
enzyme regulator activity	CLB3
enzyme regulator activity	CLN3
enzyme regulator activity	CYK3
enzyme regulator activity	GCD2
enzyme regulator activity	GPB1
enzyme regulator activity	GPB2
enzyme regulator activity	LRG1
enzyme regulator activity	MCK1
enzyme regulator activity	PCL5
enzyme regulator activity	PHO81
enzyme regulator activity	RHO1
enzyme regulator activity	RPI1
enzyme regulator activity	SHP1
enzyme regulator activity	TFG1
enzyme regulator activity	TPS3
enzyme regulator activity	YCR059C
enzyme regulator activity	YRA1
mRNA binding	KSP1
mRNA binding	MEX67
mRNA binding	MSC6
mRNA binding	MTR4
mRNA binding	NAB2
mRNA binding	NAM8
mRNA binding	NPL3
mRNA binding	NSR1
mRNA binding	NUG1
mRNA binding	PBP2
mRNA binding	PHR1
mRNA binding	PRP8
mRNA binding	RRP5
mRNA binding	URB1
mRNA binding	VTC1
mRNA binding	YHC1
RNA binding	LOS1
RNA binding	MEX67
RNA binding	MTR4
RNA binding	NAB2
RNA binding	NPL3
RNA binding	NSR1
RNA binding	NUG1
RNA binding	PRP8
RNA binding	QRI7
RNA binding	RRP5
RNA binding	RSE1
RNA binding	SET2
RNA binding	SUB2
RNA binding	UTP8
RNA binding	YHC1
RNA binding	YRA1
protein-macromolecule adaptor activity	ABP140
protein-macromolecule adaptor activity	ALY2
protein-macromolecule adaptor activity	CIC1
protein-macromolecule adaptor activity	COG1
protein-macromolecule adaptor activity	COG3
protein-macromolecule adaptor activity	GRR1
protein-macromolecule adaptor activity	HRT3
protein-macromolecule adaptor activity	INP2
protein-macromolecule adaptor activity	PBS2
protein-macromolecule adaptor activity	PEP12
protein-macromolecule adaptor activity	SPO20
protein-macromolecule adaptor activity	STE5
protein-macromolecule adaptor activity	UGA3
protein-macromolecule adaptor activity	YAP6
oxidoreductase activity	ALD5
oxidoreductase activity	DUS4
oxidoreductase activity	ERG1
oxidoreductase activity	ERG27
oxidoreductase activity	FAS2
oxidoreductase activity	FRE6
oxidoreductase activity	HIS4
oxidoreductase activity	IDH1
oxidoreductase activity	IDP1
oxidoreductase activity	KGD1
oxidoreductase activity	MDH2
oxidoreductase activity	MET10
oxidoreductase activity	NAR1
oxidoreductase activity	PDA1
DNA-binding transcription factor activity	ADR1
DNA-binding transcription factor activity	AFT1
DNA-binding transcription factor activity	ECM22
DNA-binding transcription factor activity	FZF1
DNA-binding transcription factor activity	OAF1
DNA-binding transcription factor activity	PDR1
DNA-binding transcription factor activity	SFP1
DNA-binding transcription factor activity	SUM1
DNA-binding transcription factor activity	UGA3
DNA-binding transcription factor activity	UME6
DNA-binding transcription factor activity	WAR1
DNA-binding transcription factor activity	YAP6
lipid binding	ACB1
lipid binding	ATG2
lipid binding	IST2
lipid binding	OPI1
lipid binding	OSH2
lipid binding	PIB1
lipid binding	SPO20
lipid binding	STE5
lipid binding	TFB1
lipid binding	VPS13
lipid binding	VPS74
ATP hydrolysis activity	ACT1
ATP hydrolysis activity	DDR48
ATP hydrolysis activity	HSP104
ATP hydrolysis activity	IOC4
ATP hydrolysis activity	MLH3
ATP hydrolysis activity	MOT1
ATP hydrolysis activity	REA1
ATP hydrolysis activity	RPT5
ATP hydrolysis activity	SMC2
ATP hydrolysis activity	SSQ1
nuclease activity	CCR4
nuclease activity	HO
nuclease activity	MKT1
nuclease activity	MMS4
nuclease activity	NUC1
nuclease activity	POL3
nuclease activity	RNY1
nuclease activity	RRP6
nuclease activity	SWT1
cytoskeletal protein binding	ABP1
cytoskeletal protein binding	ABP140
cytoskeletal protein binding	KAR3
cytoskeletal protein binding	MYO2
cytoskeletal protein binding	NIP100
cytoskeletal protein binding	SPC105
cytoskeletal protein binding	SSK2
cytoskeletal protein binding	VRP1
cytoskeletal protein binding	YCR059C
glycosyltransferase activity	BNA6
glycosyltransferase activity	FKS3
glycosyltransferase activity	GPH1
glycosyltransferase activity	GSC2
glycosyltransferase activity	KRE5
glycosyltransferase activity	KTR3
glycosyltransferase activity	MNN9
glycosyltransferase activity	STT3
glycosyltransferase activity	TPS3
