CHR,POS,gene_code,GENE,FUNCTION,NOTES,,,,,,,,
chr1,209787,NAG,NAG,,,,,,,,,,
chr1,209811,NAG,NAG,,,,,,,,,,
chr1,209827,NAG,NAG,,,,,,,,,,
chr1,209938,NAG,NAG,,,,,,,,,,
chr1,210055,NAG,NAG,,,,,,,,,,
chr1,210202,NAG,NAG,,,,,,,,,,
chr1,210211,NAG,NAG,,,,,,,,,,
chr1,210214,NAG,NAG,,,,,,,,,,
chr1,210223,NAG,NAG,,,,,,,,,,
chr1,210237,NAG,NAG,,,,,,,,,,
chr1,210250,NAG,NAG,,,,,,,,,,
chr1,210283,NAG,NAG,,,,,,,,,,
chr1,210342,NAG,NAG,,,,,,,,,,
chr1,210350,NAG,NAG,,,,,,,,,,
chr1,210356,NAG,NAG,,,,,,,,,,
chr1,210373,NAG,NAG,,,,,,,,,,
chr1,210406,NAG,NAG,,,,,,,,,,
chr1,210410,NAG,NAG,,,,,,,,,,
chr1,210415,NAG,NAG,,,,,,,,,,
chr1,210818,NAG,NAG,,,,,,,,,,
chr1,210916,NAG,NAG,,,,,,,,,,
chr1,210971,NAG,NAG,,,,,,,,,,
chr1,211333,NAG,NAG,,,,,,,,,,
chr1,211368,NAG,NAG,,,,,,,,,,
chr1,211907,NAG,NAG,,,,,,,,,,
chr1,212579,NAG,NAG,,,,,,,,,,
chr1,212593,NAG,NAG,,,,,,,,,,
chr1,212637,NAG,NAG,,,,,,,,,,
chr1,212660,NAG,NAG,,,,,,,,,,
chr1,212684,NAG,NAG,,,,,,,,,,
chr1,212689,NAG,NAG,,,,,,,,,,
chr1,218902,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218903,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218912,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218914,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218955,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218957,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218960,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218968,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218971,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218976,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218977,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218983,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218992,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,218998,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,219001,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,219010,YAR062W,- Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation,,,,,,,,,
chr1,220856,NAG,NAG,,,,,,,,,,
chr1,224418,NAG,NAG,,,,,,,,,,
chr1,224430,NAG,NAG,,,,,,,,,,
chr1,224448,NAG,NAG,,,,,,,,,,
chr1,224461,NAG,NAG,,,,,,,,,,
chr1,224487,NAG,NAG,,,,,,,,,,
chr1,224831,YAR070C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,,,
chr1,224871,NAG,NAG,,,,,,,,,,
chr1,224877,NAG,NAG,,,,,,,,,,
chr1,224886,NAG,NAG,,,,,,,,,,
chr1,225027,NAG,NAG,,,,,,,,,,
chr1,225098,NAG,NAG,,,,,,,,,,
chr1,225099,NAG,NAG,,,,,,,,,,
chr1,225276,NAG,NAG,,,,,,,,,,
chr1,225364,NAG,NAG,,,,,,,,,,
chr1,225383,NAG,NAG,,,,,,,,,,
chr1,225394,NAG,NAG,,,,,,,,,,
chr1,225416,NAG,NAG,,,,,,,,,,
chr1,225424,NAG,NAG,,,,,,,,,,
chr1,227277,NAG,NAG,,,,,,,,,,
chr1,227278,NAG,NAG,,,,,,,,,,
chr1,227548,NAG,NAG,,,,,,,,,,
chr1,227576,NAG,NAG,,,,,,,,,,
chr1,227620,NAG,NAG,,,,,,,,,,
chr1,228086,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228173,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228199,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228200,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228220,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228232,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228272,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228273,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228330,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228756,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228767,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,228791,YAR073W,IMD1 - Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene,located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae,,,,,,,,,
chr1,229098,YAR075W,- Non-functional protein with homology IMP dehydrogenase; YAR073W/IMD1 and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae.,,,,,,,,,,
chr1,229104,YAR075W,- Non-functional protein with homology IMP dehydrogenase; YAR073W/IMD1 and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae.,,,,,,,,,,
chr1,230155,TEL01R, - Telomeric region on the right arm of Chromosome I; composed of an X element core sequence and a short terminal stretch of telomeric repeats,,,,,,,,,,
chr1,23713,NAG,NAG,,,,,,,,,,
chr1,25487,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,25489,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,25671,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27027,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27031,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27035,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27036,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27044,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27060,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27063,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27072,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27075,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27080,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27081,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27084,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27090,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27099,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27126,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,27129,YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,,,
chr1,30796,NAG,NAG,,,,,,,,,,
chr1,37834,YAL058W,CNE1 - Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p,with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast,,,,,,,,,
chr1,38041,YAL058W,CNE1 - Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p,with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast,,,,,,,,,
chr1,40593,YAL056W,GPB2 - Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p,thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p,,,,,,,,,
chr1,42835,NAG,NAG,,,,,,,,,,
chr1,45487,NAG,NAG,,,,,,,,,,
chr1,48206,YAL053W,FLC2 - Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance,,,,,,,,,,
chr1,48533,NAG,NAG,,,,,,,,,,
chr1,48640,YAL051W,OAF1 - Oleate-activated transcription factor,acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis,,,,,,,,,
chr1,65761,NAG,NAG,,,,,,,,,,
chr1,66785,YAL040C,CLN3 - G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins,CLN1 and CLN2; regulated by phosphorylation and proteolysis,,,,,,,,,
chr1,70906,NAG,NAG,,,,,,,,,,
chr1,70929,NAG,NAG,,,,,,,,,,
chr1,70930,NAG,NAG,,,,,,,,,,
chr1,70931,NAG,NAG,,,,,,,,,,
chr10,103711,YJL168C,SET2 - Histone methyltransferase with a role in transcriptional elongation,methylates a lysine residue of histone H3; associates with the C-terminal domain of Rpo21p; histone methylation activity is regulated by phosphorylation status of Rpo21p,,,,,,,,,
chr10,134130,NAG,NAG,,,,,,,,,,
chr10,136931,NAG,NAG,,,,,,,,,,
chr10,170952,YJL130C,URA2 - Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP,,,,,,,,,
chr10,173515,NAG,NAG,,,,,,,,,,
chr10,178468,YJL128C,PBS2 - MAP kinase kinase of the HOG signaling pathway; activated under severe osmotic stress; mitophagy-specific regulator; plays a role in regulating Ty1 transposition,,,,,,,,,,
chr10,178937,YJL128C,PBS2 - MAP kinase kinase of the HOG signaling pathway; activated under severe osmotic stress; mitophagy-specific regulator; plays a role in regulating Ty1 transposition,,,,,,,,,,
