CHR,POS,gene_code,GENE,FUNCTION,NOTES,,,,,,
chr10,413090, YJL012C,VTC4 - Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion,,,,,,,,
chr10,419705,NAG,NAG,,,,,,,,
chr10,424928,NAG,NAG,,,,,,,,
chr10,424936,NAG,NAG,,,,,,,,
chr10,457903,NAG,NAG,,,,,,,,
chr10,472080,NAG,NAG,,,,,,,,
chr10,497303,NAG,NAG,,,,,,,,
chr10,498452, YJR035W,RAD26 - Protein involved in transcription-coupled nucleotide excision repair of UV-induced DNA lesions; recruitment to DNA lesions is dependent on an elongating RNA polymerase II; homolog of human CSB protein,,,,,,,,
chr10,522532, YJR046W,TAH11 - DNA replication licensing factor, required for pre-replication complex assembly,,,,,,,
chr10,525773,NAG,NAG,,,,,,,,
chr10,546347, YJR059W,PTK2 - Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,,,,,,,,
chr10,546698, YJR059W,PTK2 - Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,,,,,,,,
chr10,546700, YJR059W,PTK2 - Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,,,,,,,,
chr10,547433, YJR059W,PTK2 - Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,,,,,,,,
chr10,547441, YJR059W,PTK2 - Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,,,,,,,,
chr10,555085,NAG,NAG,,,,,,,,
chr10,568755,NAG,NAG,,,,,,,,
chr10,570775,NAG,NAG,,,,,,,,
chr10,588774, YJR089W,BIR1 - Subunit of chromosomal passenger complex (CPC; Ipl1p-Sli15p-Bir1p-Nbl1p), which regulates chromosome segregation; required for chromosome bi-orientation and for spindle assembly checkpoint activation upon reduced sister kinetochore tension,,,,,,,
chr10,591908, YJR090C,GRR1 - F-box protein component of the SCF ubiquitin-ligase complex; involved in carbon catabolite repression, glucose-dependent divalent cation transport, high-affinity glucose transport, morphogenesis, and sulfite detoxification,,,,
chr10,60682,NAG,NAG,,,,,,,,
chr10,663948,NAG,NAG,,,,,,,,
chr10,681843, YJR137C,MET5 - Sulfite reductase beta subunit, involved in amino acid biosynthesis, transcription repressed by methionine,,,,,,
chr10,701746,NAG,NAG,,,,,,,,
chr10,70972,NAG,NAG,,,,,,,,
chr10,715087, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,,,,
chr10,715108, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,,,,
chr10,715114, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,,,,
chr10,715117, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,,,,
chr10,715141, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,,,,
chr10,715149, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,,,,
chr10,715153, YJR151C,DAN4 - Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth,,,,
chr10,745294, TEL10R-XC, - Telomeric X element Core sequence on the right arm of Chromosome X; contains an ARS consensus sequence, an Abf1p binding site consensus sequence, and ORF YJR162C,,,,,,
chr10,745296, TEL10R-XC, - Telomeric X element Core sequence on the right arm of Chromosome X; contains an ARS consensus sequence, an Abf1p binding site consensus sequence, and ORF YJR162C,,,,,,
chr10,745451, TEL10R, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,,,,
chr10,745495, TEL10R, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,,,,
chr10,745496, TEL10R, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,,,,
chr10,745499, TEL10R, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,,,,
chr10,745504, TEL10R, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,,,,
chr10,745529, TEL10R, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,,,,
chr10,745669, TEL10R, - Telomeric region on the right arm of Chromosome X, composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats,,,,,
chr10,75588,NAG,NAG,,,,,,,,
chr10,76405, YJL189W,RPL39 - Protein component of the large (60S) ribosomal subunit, has similarity to rat L39 ribosomal protein; required for ribosome biogenesis; loss of both Rpl31p and Rpl39p confers lethality; also exhibits genetic interactions with SIS1 and PAB1,,,,,,,
chr10,79972,NAG,NAG,,,,,,,,
chr10,90635,NAG,NAG,,,,,,,,
chr10,99505, ARS1006, - Autonomously Replicating Sequence,,,,,,,,
chr10,99519, ARS1006, - Autonomously Replicating Sequence,,,,,,,,
chr11,107951, YKL181W,PRS1 - 5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes,,,
chr11,109080,NAG,NAG,,,,,,,,
chr11,118899, YKL175W,ZRT3 - Vacuolar membrane zinc transporter, transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency,,,,,,,
chr11,123581, YKL173W,SNU114 - GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2,,,,,,,,
chr11,126748, YKL172W,EBP2 - Essential protein required for the maturation of 25S rRNA and 60S ribosomal subunit assembly, localizes to the nucleolus; constituent of 66S pre-ribosomal particles,,,,,,,
chr11,128195, YKL171W,NNK1 - Protein kinase; implicated in proteasome function; interacts with TORC1, Ure2 and Gdh2; overexpression leads to hypersensitivity to rapamycin and nuclear accumulation of Gln3; epitope-tagged protein localizes to the cytoplasm,,,,,,,
chr11,132383, YKL168C,KKQ8 - Putative serine/threonine protein kinase with unknown cellular role,,,,,,,,
chr11,132423, YKL168C,KKQ8 - Putative serine/threonine protein kinase with unknown cellular role,,,,,,,,
chr11,134467,NAG,NAG,,,,,,,,
chr11,136931,NAG,NAG,,,,,,,,
chr11,142310, YKL164C,PIR1 - O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle,,,,,,,
chr11,144619, YKL163W,PIR3 - O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway,,,,,,,
chr11,144646, YKL163W,PIR3 - O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway,,,,,,,
chr11,144862, YKL163W,PIR3 - O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway,,,,,,,
chr11,144880, YKL163W,PIR3 - O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway,,,,,,,
chr11,144883, YKL163W,PIR3 - O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway,,,,,,,
chr11,144919, YKL163W,PIR3 - O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway,,,,,,,
chr11,146956,NAG,NAG,,,,,,,,
chr11,157764, YKL157W,APE2 - Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; sequence coordinates have changed since RT-PCR analysis showed that the adjacent ORF YKL158W comprises the 5' exon of APE2/YKL157W,,,,,,,,
chr11,178928, YKL142W,MRP8 - Protein of unknown function; undergoes sumoylation; transcription induced under cell wall stress; protein levels are reduced under anaerobic conditions; originally thought to be a mitochondrial ribosomal protein based on sequence analysis,,,,,,,,
chr11,180104, YKL141W,SDH3 - Cytochrome b subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain,,,,
chr11,180128, YKL141W,SDH3 - Cytochrome b subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain,,,,
chr11,180297,NAG,NAG,,,,,,,,
chr11,185033,NAG,NAG,,,,,,,,
chr11,187243, YKL135C,APL2 - Beta-adaptin, large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting,,,,,,,
chr11,188678,NAG,NAG,,,,,,,,
chr11,196211, ARS1126, - Autonomously Replicating Sequence,,,,,,,,
chr11,206869, YKL126W,YPK1 - Serine/threonine protein kinase that phosphorylates and downregulates flippase activator Fpk1p; mutations affect receptor-mediated endocytosis and sphingolipid-mediated and cell integrity signaling pathways; homolog of mammalian kinase SGK,,,,,,,,
chr11,249736, YKL101W,HSL1 - Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment, phosphorylation, and degradation of Swe1p,,,,,,
chr11,277675, YKL087C,CYT2 - Cytochrome c1 heme lyase, involved in maturation of cytochrome c1, which is a subunit of the mitochondrial ubiquinol-cytochrome-c reductase; links heme covalently to apocytochrome c1,,,,,,
chr11,280468,NAG,NAG,,,,,,,,
chr11,286448,NAG,NAG,,,,,,,,
chr11,335103,NAG,NAG,,,,,,,,
chr11,351197,NAG,NAG,,,,,,,,
chr11,354438, YKL045W,PRI2 - Subunit of DNA primase, which is required for DNA synthesis and double-strand break repair,,,,,,,
chr11,357984,NAG,NAG,,,,,,,,
chr11,358455,NAG,NAG,,,,,,,,
chr11,37146, YKL211C,TRP3 - Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p,,,,,,,
chr11,37242, YKL211C,TRP3 - Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p,,,,,,,
chr11,379671,NAG,NAG,,,,,,,,
chr11,379672,NAG,NAG,,,,,,,,
chr11,387292,NAG,NAG,,,,,,,,
chr11,408184,NAG,NAG,,,,,,,,
chr11,408233,NAG,NAG,,,,,,,,
chr11,408307,NAG,NAG,,,,,,,,
chr11,411001, YKL015W,PUT3 - Transcriptional activator of proline utilization genes, constitutively binds PUT1 and PUT2 promoter sequences and undergoes a conformational change to form the active state; has a Zn(2)-Cys(6) binuclear cluster domain,,,,,,,
chr11,415085, YKL014C,URB1 - Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit,,,,,,,
chr11,415294, YKL014C,URB1 - Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit,,,,,,,
chr11,415378, YKL014C,URB1 - Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit,,,,,,,
chr11,415542, YKL014C,URB1 - Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit,,,,,,,
chr11,422154, YKL010C,UFD4 - Ubiquitin-protein ligase (E3) that interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins,,,,,,,
chr11,422960, YKL010C,UFD4 - Ubiquitin-protein ligase (E3) that interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins,,,,,,,
chr11,427367, YKL008C,LAC1 - Ceramide synthase component, involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lag1p,,,,,,
chr11,430806,NAG,NAG,,,,,,,,
chr11,430973,NAG,NAG,,,,,,,,
chr11,437524,NAG,NAG,,,,,,,,
chr11,442302, YKR001C,VPS1 - Dynamin-like GTPase required for vacuolar sorting; also involved in actin cytoskeleton organization, endocytosis, late Golgi-retention of some proteins, regulation of peroxisome biogenesis,,,,,
chr11,446787,NAG,NAG,,,,,,,,
chr11,450308,NAG,NAG,,,,,,,,
chr11,459870, YKR010C,TOF2 - Protein required for rDNA silencing and mitotic rDNA condensation; stimulates Cdc14p phosphatase activity and biphasic release to promote rDNA repeat segregation; required for condensin recruitment to the replication fork barrier site,,,,,,,,
chr11,46762, tT(CGU)K,TRT2 - tRNA-Thr; tRNA threonine 2,,,,,,,,
chr11,474932, YKR018C, - Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus,,,,,,,,
chr11,476160,NAG,NAG,,,,,,,,
chr11,480070, YKR021W,ALY1 - Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets,,,,,,,,
chr11,480455, YKR021W,ALY1 - Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets,,,,,,,,
chr11,481321, YKR021W,ALY1 - Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets,,,,,,,,
chr11,482277, YKR022C,NTR2 - Essential protein that forms a dimer with Ntr1p; also forms a trimer, with Ntr2p and the DExD/H-box RNA helicase Prp43p, that is involved in spliceosome disassembly,,,,,,
chr11,482837, YKR022C,NTR2 - Essential protein that forms a dimer with Ntr1p; also forms a trimer, with Ntr2p and the DExD/H-box RNA helicase Prp43p, that is involved in spliceosome disassembly,,,,,,
chr11,483809, YKR023W, - Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies,,,,,,,
chr11,483815, YKR023W, - Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies,,,,,,,
chr11,486371, YKR024C,DBP7 - Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis; essential for growth under anaerobic conditions,,,,,,,,
chr11,486659, YKR024C,DBP7 - Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis; essential for growth under anaerobic conditions,,,,,,,,
chr11,487095, YKR024C,DBP7 - Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis; essential for growth under anaerobic conditions,,,,,,,,
chr11,487361, YKR024C,DBP7 - Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis; essential for growth under anaerobic conditions,,,,,,,,
chr11,487601,NAG,NAG,,,,,,,,
chr11,489841,NAG,NAG,,,,,,,,
chr11,493349, YKR027W,BCH2 - Member of the ChAPs family of proteins (Chs5p-Arf1p-binding proteins: Bch1p, Bch2p, Bud7p, Chs6p), that forms the exomer complex with Chs5p to mediate export of specific cargo proteins, including Chs3p, from the Golgi to the plasma membrane,,
chr11,495938, YKR028W,SAP190 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,,,,
chr11,495966, YKR028W,SAP190 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,,,,
chr11,496005, YKR028W,SAP190 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,,,,
chr11,496317, YKR028W,SAP190 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,,,,
chr11,496416, YKR028W,SAP190 - Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p,,,,,,
chr11,514494,NAG,NAG,,,,,,,,
chr11,517282,NAG,NAG,,,,,,,,
chr11,517454, YKRCdelta12, - Ty1 LTR,,,,,,,,
chr11,517455, YKRCdelta12, - Ty1 LTR,,,,,,,,
chr11,518072, YKR040C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YKR041W,,,,,,,
chr11,518114, YKR040C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YKR041W,,,,,,,
chr11,518140, YKR040C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YKR041W,,,,,,,
chr11,519756, YKR042W,UTH1 - Mitochondrial outer membrane and cell wall localized SUN family member involved in cell wall biogenesis and required for mitochondrial autophagy; involved in the oxidative stress response, life span during starvation, and cell death,,,,,,
chr11,522478, YKR044W,UIP5 - Protein of unknown function that interacts with Ulp1p, a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates,,,,,,,
chr11,524035,NAG,NAG,,,,,,,,
chr11,527534,NAG,NAG,,,,,,,,
chr11,529178, YKR050W,TRK2 - Component of the Trk1p-Trk2p potassium transport system,,,,,,,,
chr11,532442,NAG,NAG,,,,,,,,
chr11,53317, YKL205W,LOS1 - Nuclear pore protein involved in nuclear export of pre-tRNA and in re-export of mature tRNAs after their retrograde import from the cytoplasm,,,,,,,,
chr11,533318, YKR052C,MRS4 - Iron transporter that mediates Fe2+ transport across the inner mitochondrial membrane; mitochondrial carrier family member, similar to and functionally redundant with Mrs3p; active under low-iron conditions; may transport other cations,,,,,,,
chr11,53679,NAG,NAG,,,,,,,,
chr11,537898, YKR054C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p,,,
chr11,539613, YKR054C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p,,,
chr11,539987, YKR054C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p,,,
chr11,542352, YKR054C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p,,,
chr11,543951, YKR054C,DYN1 - Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p,,,
chr11,548560, YKR055W,RHO4 - Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins, likely to be involved in the establishment of cell polarity,,,,,,,
chr11,549464, YKR056W,TRM2 - tRNA methyltransferase, 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation; endo-exonuclease with a role in DNA repair,,,,,,,
chr11,549470, YKR056W,TRM2 - tRNA methyltransferase, 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation; endo-exonuclease with a role in DNA repair,,,,,,,
chr11,552756,NAG,NAG,,,,,,,,
chr11,553084, YKR058W,GLG1 - Self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; similar to mammalian glycogenin,,,,,,,
chr11,553952, YKR058W,GLG1 - Self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; similar to mammalian glycogenin,,,,,,,
chr11,560783,NAG,NAG,,,,,,,,
chr11,568041, YKR067W,GPT2 - Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis,,,,,,,,
chr11,568283, YKR067W,GPT2 - Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis,,,,,,,,
chr11,568347, YKR067W,GPT2 - Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis,,,,,,,,
chr11,576537, YKR072C,SIS2 - Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis,,,,,
chr11,577779, YKR072C,SIS2 - Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis,,,,,
chr11,578481, YKR073C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr11,578485, YKR073C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr11,578488, YKR073C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
