CODE	GENE	ID	FUNCTION	PROCESS	COMPONENT
YEAST|SGD=S000002242|UniProtKB=Q07478	SUB2	ATP-dependent RNA helicase SUB2;SUB2;PTN002776530;orthologs	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA helicase activity(GO:0003724);mRNA binding(GO:0003729);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787);ATP hydrolysis activity(GO:0016887)	mRNA splicing, via spliceosome(GO:0000398);transcription-coupled nucleotide-excision repair(GO:0006283);transcription elongation by RNA polymerase II(GO:0006368);mRNA processing(GO:0006397);mRNA export from nucleus(GO:0006406);RNA splicing(GO:0008380);gene expression(GO:0010467);mRNA 3'-end processing(GO:0031124);subtelomeric heterochromatin formation(GO:0031509);mRNA transport(GO:0051028)	transcription export complex(GO:0000346);chromosome, telomeric region(GO:0000781);nucleus(GO:0005634);spliceosomal complex(GO:0005681);cytoplasm(GO:0005737)
YEAST|SGD=S000003974|UniProtKB=Q12473	FRE6	Ferric reductase transmembrane component 6;FRE6;PTN000796570;orthologs	ferric-chelate reductase activity(GO:0000293);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);ferric-chelate reductase (NADPH) activity(GO:0052851)	transition metal ion transport(GO:0000041);iron ion transport(GO:0006826);intracellular iron ion homeostasis(GO:0006879);copper ion import(GO:0015677)	fungal-type vacuole(GO:0000324);fungal-type vacuole membrane(GO:0000329);vacuole(GO:0005773);vacuolar membrane(GO:0005774);plasma membrane(GO:0005886);membrane(GO:0016020)
YEAST|SGD=S000001811|UniProtKB=P0CE68	NFT1	ABC transporter NFT1;NFT1;PTN002384297;orthologs	molecular_function(GO:0003674);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359)	macroautophagy(GO:0016236);transmembrane transport(GO:0055085)	fungal-type vacuole membrane(GO:0000329);membrane(GO:0016020)
YEAST|SGD=S000005692|UniProtKB=Q12104	SWT1	Transcriptional protein SWT1;SWT1;PTN000414704;orthologs	RNA endonuclease activity(GO:0004521);RNA nuclease activity(GO:0004540)	nuclear mRNA surveillance of mRNP export(GO:0071032)	nucleus(GO:0005634);cytoplasm(GO:0005737)
YEAST|SGD=S000005269|UniProtKB=P42837	FIG4	Polyphosphoinositide phosphatase;FIG4;PTN000127990;orthologs	hydrolase activity(GO:0016787);phosphatidylinositol bisphosphate phosphatase activity(GO:0034593);phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity(GO:0043813)	phosphatidylinositol-3-phosphate biosynthetic process(GO:0036092);phosphatidylinositol dephosphorylation(GO:0046856)	fungal-type vacuole membrane(GO:0000329);vacuole(GO:0005773);vacuolar membrane(GO:0005774);membrane(GO:0016020);nuclear periphery(GO:0034399);intracellular membrane-bounded organelle(GO:0043231);PAS complex(GO:0070772)
YEAST|SGD=S000003465|UniProtKB=P17442	PHO81	Phosphate system positive regulatory protein PHO81;PHO81;PTN000081978;orthologs	cyclin-dependent protein serine/threonine kinase inhibitor activity(GO:0004861);phosphoric diester hydrolase activity(GO:0008081)	lipid metabolic process(GO:0006629);phosphate-containing compound metabolic process(GO:0006796);cellular response to phosphate starvation(GO:0016036)	nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
YEAST|SGD=S000001282|UniProtKB=P40545	HIS4	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase;HIS6;PTN000475806;orthologs	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity(GO:0003949);isomerase activity(GO:0016853)	L-histidine biosynthetic process(GO:0000105);tryptophan biosynthetic process(GO:0000162);small molecule metabolic process(GO:0044281)	nucleus(GO:0005634);cytoplasm(GO:0005737)
YEAST|SGD=S000005913|UniProtKB=P05066	PHR1	Deoxyribodipyrimidine photo-lyase, mitochondrial;PHR1;PTN000155950;orthologs	nucleotide binding(GO:0000166);DNA binding(GO:0003677);mRNA binding(GO:0003729);deoxyribodipyrimidine photo-lyase activity(GO:0003904);lyase activity(GO:0016829);FAD binding(GO:0071949);organic cyclic compound binding(GO:0097159)	photoreactive repair(GO:0000719);nucleobase-containing compound metabolic process(GO:0006139);DNA repair(GO:0006281);response to stress(GO:0006950);circadian regulation of gene expression(GO:0032922);entrainment of circadian clock by photoperiod(GO:0043153)	nucleus(GO:0005634);cytoplasm(GO:0005737);mitochondrion(GO:0005739)
YEAST|SGD=S000000931|UniProtKB=P38990	SAK1	SNF1-activating kinase 1;SAK1;PTN000680333;orthologs	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);protein serine kinase activity(GO:0106310)	regulation of glycogen biosynthetic process(GO:0005979);protein phosphorylation(GO:0006468);cellular response to glucose starvation(GO:0042149);regulation of DNA-templated DNA replication(GO:0090329);regulation of protein localization to nucleus(GO:1900180);regulation of pseudohyphal growth(GO:2000220)	cytoplasm(GO:0005737);cytosol(GO:0005829)
YEAST|SGD=S000002976|UniProtKB=P05030	PMA1	Plasma membrane ATPase 1;PMA1;PTN000644071;orthologs	ATP binding(GO:0005524);P-type proton-exporting transporter activity(GO:0008553);P-type ion transporter activity(GO:0015662);ATP hydrolysis activity(GO:0016887);ATPase-coupled monoatomic cation transmembrane transporter activity(GO:0019829);inorganic cation transmembrane transporter activity(GO:0022890);metal ion binding(GO:0046872)	regulation of intracellular pH(GO:0051453);transmembrane transport(GO:0055085);inorganic cation transmembrane transport(GO:0098662);proton export across plasma membrane(GO:0120029);proton transmembrane transport(GO:1902600);proteasome storage granule assembly(GO:1902906);positive regulation of TORC1 signaling(GO:1904263)	mitochondrion(GO:0005739);cytosol(GO:0005829);plasma membrane(GO:0005886);membrane(GO:0016020);eisosome(GO:0032126);membrane raft(GO:0045121)
YEAST|SGD=S000000234|UniProtKB=P38222	RKM3	Ribosomal lysine N-methyltransferase 3;RKM3;PTN000328101;orthologs	methyltransferase activity(GO:0008168);protein-lysine N-methyltransferase activity(GO:0016279)	peptidyl-lysine monomethylation(GO:0018026);methylation(GO:0032259)	nucleus(GO:0005634);cytosol(GO:0005829)
